,Erlotinib,Lapatinib,Paclitaxel,Sorafenib
SW1116,1.925257,2.964955,-0.25889,4.043451
HOS,1.718685,3.575007,-4.297978,2.48808
KLE,3.000641,3.820619,0.235667,3.992571
RKN,4.314391,5.751201,-0.359813,4.409925
SF126,4.276917,2.404959,-3.425712,2.139554
SW1990,4.154823,3.968984,-1.412383,2.436082
RAJI,1.438342,2.794451,-5.100574,1.502852
5637,0.672353,1.960754,-4.480454,2.871989
HCC38,4.330462,3.039626,-3.052436,5.269255
BECKER,3.993777,5.537944,-3.583058,3.305665
SW1783,3.775286,4.192492,-2.627214,2.314085
T47D,2.605145,2.986112,-2.383426,3.489174
BHY,2.156905,2.409981,-2.256706,2.825833
HEL,2.83302,2.531924,-2.214224,1.859968
HPAC,3.839695,4.227097,-3.617642,2.167
RCC10RGB,0.844421,1.587158,0.459353,4.939811
SU8686,2.988155,4.501588,-1.072509,3.063845
BICR22,3.291217,2.38026,-5.735724,2.72117
ECC10,1.766813,1.636946,-5.199684,1.202489
TGBC11TKB,2.999253,3.429562,-4.045154,2.848478
ECC12,5.205943,4.213232,-1.459988,1.749911
OVTOKO,2.030441,2.596813,-0.141257,3.420588
SW1463,2.062968,2.196321,-2.584583,2.503341
SF295,5.460858,3.376754,-2.277345,1.842464
OE33,2.773169,2.449046,-4.086027,3.568554
FU97,4.050765,3.090358,-4.085509,2.350898
J82,2.898919,5.028935,-0.534736,5.595969
A204,2.803673,4.828366,-1.485738,1.389485
GCIY,2.4085,3.701571,-0.876797,2.761769
HCC2218,2.712136,-0.981294,-1.839323,0.872658
MKN1,2.155902,2.591763,-2.005082,4.711203
HUCCT1,1.561275,3.02409,-4.120094,2.270112
HCC1954,2.407354,1.747652,-3.171179,2.393563
HARA,1.796949,1.725556,-4.861483,2.669227
MC116,2.610454,1.653223,-6.258551,1.594138
CA46,1.867099,2.60459,-3.446197,1.770197
A498,4.135729,2.413905,-1.814675,3.359629
A673,2.536294,4.972644,-5.230565,2.526963
AU565,1.852,-0.866222,-4.935218,3.079448
HH,3.90694,4.984484,-1.098235,2.511412
FADU,0.786913,0.799326,-3.32481,2.283605
DB,1.584707,2.777642,-5.280045,1.121969
SW1271,5.358783,4.808961,-1.365165,5.981284
GCT,4.104486,3.876439,-2.543773,2.384283
H4,2.109115,3.660442,-3.947668,2.819219
HCC1143,2.023396,2.022557,-2.668328,4.503055
T24,4.180037,5.330951,-2.459691,2.931146
HCC1937,2.294308,2.616738,-0.757524,4.041312
HCC1569,3.737323,1.993331,-2.211781,2.522932
HCC1395,3.142511,2.143519,-2.801269,2.464436
HCC1187,2.476346,5.222466,-4.759459,2.293704
DAUDI,1.588356,2.042988,-2.18345,1.614273
HT,,2.401988,-6.102525,2.110141
JM1,3.745018,2.865737,-3.729289,1.484645
C2BBE1,3.077326,3.135497,0.027942,2.941447
BICR31,4.306564,2.802553,-0.666472,2.15455
A704,2.294993,2.251386,-1.69998,1.908121
MEWO,4.738909,4.759442,-2.755593,3.169391
SW837,3.272451,4.531367,-0.75127,3.938316
HT55,1.570223,1.415393,-1.350624,2.63754
MDST8,2.587737,3.929629,-4.38309,2.130245
SW1573,5.340609,7.662378,0.196102,4.203679
YAPC,4.631811,5.755863,0.193437,3.307758
A253,2.525065,2.070026,-2.852335,2.400745
NAMALWA,2.064284,2.868717,-5.088043,1.834087
TCCSUP,2.353741,6.470794,-2.177791,3.711671
KURAMOCHI,3.322064,4.093378,-0.857127,4.376892
A2058,2.078517,1.990818,-5.579606,2.337496
DAOY,2.502762,3.6425,-5.03493,2.344885
HCC70,2.625013,2.993129,-2.502949,3.03469
LOUCY,1.003471,2.676327,-4.50428,2.246651
SW1088,3.099623,4.360989,-3.97403,3.656044
A101D,1.965788,2.222989,-3.841092,2.584912
SW780,3.988656,4.678415,-0.785937,3.014884
RKO,3.640328,2.702819,-4.254078,2.086686
MCF7,4.058467,2.342267,-2.691037,1.82766
REH,2.829685,2.955153,-4.925049,2.45472
TT,5.278605,6.919814,0.612111,4.645908
ST486,2.934837,2.421825,-4.732283,1.484599
VCAP,4.499242,4.920851,-2.092738,3.99902
