protein_a,protein_b,combined_score
ERCC1,CHEK2,0.739
ERCC1,MRE11,0.752
ERCC1,TP53BP1,0.835
ERCC1,PARP1,0.869
ERCC1,BRCA2,0.877
ERCC1,RAD51,0.908
ERCC1,XRCC1,0.967
ERCC1,MSH6,0.974
ERCC1,ATM,0.975
ERCC1,XRCC5,0.982
ERCC1,MSH2,0.992
KRT20,GATA3,0.725
TIGAR,TP53,0.981
MAPK1,GAPDH,0.701
MAPK1,FN1,0.716
MAPK1,MAPK8,0.747
MAPK1,JAK2,0.794
MAPK1,SMAD4,0.816
MAPK1,PIK3CA,0.822
MAPK1,PXN,0.835
MAPK1,BAD,0.917
MAPK1,TSC1,0.926
MAPK1,SRC,0.932
MAPK1,STMN1,0.949
MAPK1,TSC2,0.952
MAPK1,SHC1,0.962
MAPK1,SMAD3,0.962
MAPK1,FOXO3,0.963
MAPK1,SMAD1,0.965
MAPK1,AKT1,0.988
MAPK1,STAT3,0.996
MAPK1,PEA15,0.998
MAPK1,TP53,0.998
MAPK1,MAP2K1,0.999
MAPK1,RPS6KA1,0.999
XBP1,AKT1,0.739
XBP1,SHC1,0.772
MMP2,SMAD4,0.709
MMP2,GAPDH,0.718
MMP2,SNAI1,0.731
MMP2,ERBB2,0.738
MMP2,PTEN,0.745
MMP2,PECAM1,0.75
MMP2,SERPINE1,0.755
MMP2,ITGB1,0.755
MMP2,FN1,0.756
MMP2,AKT1,0.846
MMP2,STAT3,0.916
MMP2,SRC,0.972
TSC2,TP53,0.713
TSC2,ATM,0.735
TSC2,AKT1S1,0.853
TSC2,EIF4E,0.862
TSC2,PTEN,0.889
TSC2,RICTOR,0.908
TSC2,RPTOR,0.966
TSC2,PRKAA1,0.978
TSC2,RPS6KA1,0.988
TSC2,MTOR,0.99
TSC2,AKT1,0.99
TSC2,TSC1,0.999
SERPINE1,GAPDH,0.745
SERPINE1,FN1,0.79
SERPINE1,SMAD3,0.848
SERPINE1,SMAD4,0.873
MSH2,PARP1,0.713
MSH2,ERBB2,0.728
MSH2,CHEK1,0.765
MSH2,PTEN,0.778
MSH2,XRCC1,0.781
MSH2,MRE11,0.847
MSH2,CHEK2,0.934
MSH2,RAD51,0.944
MSH2,BRCA2,0.968
MSH2,PCNA,0.972
MSH2,XRCC5,0.973
MSH2,TP53,0.974
MSH2,MSH6,0.999
MSH2,ATM,0.999
IGFBP2,EGFR,0.746
MSH6,PTEN,0.742
MSH6,XRCC1,0.752
MSH6,PARP1,0.798
MSH6,TP53,0.826
MSH6,CHEK1,0.841
MSH6,MRE11,0.862
MSH6,CHEK2,0.89
MSH6,RAD51,0.893
MSH6,BRCA2,0.967
MSH6,XRCC5,0.972
MSH6,PCNA,0.998
MSH6,ATM,0.999
SNAI1,EGFR,0.711
SNAI1,NOTCH1,0.738
SNAI1,PTEN,0.755
SNAI1,GAPDH,0.762
SNAI1,FOXM1,0.797
SNAI1,STAT3,0.806
SNAI1,FN1,0.815
SNAI1,PARP1,0.842
SNAI1,AKT1,0.85
SNAI1,MDM2,0.851
SNAI1,SMAD4,0.96
SNAI1,TP53,0.992
SNAI1,SMAD3,0.994
EREG,KDR,0.735
EREG,NRG1,0.845
EREG,ERBB2,0.86
EREG,ERBB3,0.982
EREG,EGFR,0.999
PYCARD,SYK,0.826
NR0B2,SRC,0.755
NR0B2,AR,0.77
NR0B2,TP53,0.777
NR0B2,MDM2,0.812
VHL,ATM,0.701
VHL,TP53,0.784
VHL,FN1,0.927
MDM2,BRCA2,0.702
MDM2,STAT3,0.715
MDM2,SRSF1,0.721
MDM2,GAPDH,0.741
MDM2,BECN1,0.751
MDM2,CDK1,0.829
MDM2,NOTCH1,0.843
MDM2,GADD45A,0.85
MDM2,HSPA4,0.873
MDM2,SRC,0.882
MDM2,EGFR,0.897
MDM2,PTEN,0.902
MDM2,CHEK2,0.983
MDM2,FOXO3,0.995
MDM2,ATM,0.995
MDM2,AR,0.998
MDM2,RB1,0.999
MDM2,AKT1,0.999
MDM2,MDM4,0.999
MDM2,TP53,0.999
SRSF1,TP53,0.878
EFCAB6,AR,0.712
PRDX1,TP53,0.723
PRDX1,PTEN,0.781
PRDX1,GAPDH,0.812
XRCC1,TP53,0.75
XRCC1,RAD50,0.757
XRCC1,BRCA2,0.827
XRCC1,ATM,0.835
XRCC1,RAD51,0.837
XRCC1,PCNA,0.856
XRCC1,MRE11,0.902
XRCC1,TP53BP1,0.907
XRCC1,XRCC5,0.92
XRCC1,PARP1,0.999
EEF2K,PRKAA1,0.914
EEF2K,EEF2,0.999
KDR,AKT1,0.715
KDR,TP53,0.73
KDR,PXN,0.735
KDR,IRS1,0.743
KDR,FN1,0.793
KDR,EGFR,0.805
KDR,ITGB1,0.884
KDR,JAK2,0.926
KDR,PIK3CA,0.975
KDR,SHC1,0.995
KDR,SRC,0.998
KDR,PECAM1,0.999
