cell_line,53BP1,ADAR1,AR,ASNS,ATM,CD31,CDK1,EGFR,FASN,G6PD,GATA3,HER2,HER3,IGFBP2,INPP4B,IRS1,JAK2,MEK1,MSH2,MYH11,PDK1,PEA15,PR,PRDX1,PREX1,PTEN,RAD51,RBM15,SCD1,SF2,TAZ,TFRC,TIGAR,TTF1,VEGFR2
BECKER,0.0,0.0,0.0,0.0,0.0,0.02294384857650692,0.0,0.0,0.004259737297514559,0.010992901712346181,0.006317478914350092,-0.0858880930838274,-0.0648921518347977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06242890870606078,0.0,0.0,0.0,0.0,0.0,0.0,0.1150171846610466,0.0,0.0,0.0,0.0,0.033127117925027955,0.30700264703670477
HEL,0.07397055485142717,0.0,0.0,0.0,0.0,-0.0870905988416075,0.0,0.0,0.0,0.0,0.0,-0.04012969026031918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02198034383327812,0.0,-0.06140464108794354,0.0,0.0,0.0,0.0,-0.10335134661430455,-0.0912762382305184,-0.004491216281137689,-0.053541164836137294,0.0,-0.2006462744971915
RCC10RGB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020994663478038245,0.0,0.0,-0.03006195326859906,0.0,0.0,0.0,0.0,0.030092109227031868,0.0,0.0,0.0,-0.10072700937906642,-0.11608108698766205,0.0,0.0,0.0,0.0,0.0,0.06620244888812983,0.0,0.6421936769009475,0.0,-0.04713190869670967,0.028960640133095517,0.27750336533959175
TGBC11TKB,0.0,0.0,0.0,0.0,0.0,0.0,-0.03973230509242746,-0.00407582558562791,0.0,0.0,0.0,0.0,0.1716396769894088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03301999346812223,0.0,0.0,0.0,0.0,-0.021728335589728885,-0.08061582790913382,0.0,-0.07324014525493436,0.0,-0.048254020535256834,-0.013832136221349146,-0.2276926083346883
ECC12,-0.04579931713523948,0.0,0.0,-0.023617242882847018,0.0,0.0,0.0,0.0,0.0,0.0,-0.016422136196329346,-0.036218823953557,0.12616208608259474,0.0,-0.005713957560412014,0.0,0.0,0.0288050164845277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10423376963388871,0.0,-0.030277596462963477,0.0424334087557051,0.0
SF295,0.0,0.0,0.0,0.0,0.0,0.04327314524579939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007547422952135245,0.0,0.0,0.09964751309841169,0.0,-0.031163578640585554,-0.11045920804052373,0.0,0.0,0.0,0.0,0.0,0.06092083957000314,0.0,0.26234591512421146,0.0,0.0,-0.1510000287974452,0.10732085078475194
DB,0.0,0.0,0.0,0.0,0.0,0.0,-0.013590136080000264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021386187547838213,0.0,0.023887109269651374,-0.018406175759299124,0.4001703452698738,0.0,0.0,0.0,0.0,-0.027245751084751517,0.0,0.0,0.0,0.1490920070910245,-0.04024415412360532,0.0,0.0,-0.03772314887220547,0.0,-0.14245971249753459
SW1271,0.0,0.0,0.0,-0.033747612820189093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05679426650472909,0.0,0.0,0.0,0.0,0.014546608959356777,0.0,0.0,0.0,0.0,-0.053430456119459145,0.0,0.021442369525666947,0.0,0.0,0.0,0.076272667291569,0.03055725673810228,0.3448257141410577,0.0,-0.03995195600932971,0.0,0.3391152378033573
GCT,0.01004513652721127,0.0,0.0,-0.10821129041597025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030914111985381812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2788760329361943e-05,0.0,0.0,0.0,0.0,0.0,-0.008577650648192353,0.1483557157456252,0.0,0.0,0.0,-0.033794307755629305,-0.02630418105412896,-0.10298998351037911
HCC1143,0.012488764176308337,0.0,0.0,-0.203582096897149,0.0,0.010260829441216219,0.0,0.0,0.0,0.0,0.0,-0.009986285486615128,-0.028580440021923587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009903794289119427,0.0,0.0,0.0,0.0192714168032572,0.0,0.0,0.0,0.031618522617363844,0.0,0.24559767635525934,0.0,0.0,0.023282079543507785,0.0
DAUDI,-0.032546603399861145,0.0,0.0,-0.00443263613532053,0.0,-0.0033118156624067177,0.0,0.0,0.0,0.0,0.0,-0.03112753306564014,0.0,0.0,0.0,0.0,0.0,0.13121944917462652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4701238749807616,-0.0429516192347265,-0.008925677811270488,-0.05935235635980918,0.0,-0.30138523276863377
