cell_line,53BP1,ADAR1,AR,ASNS,ATM,CD31,CDK1,EGFR,FASN,G6PD,GATA3,HER2,HER3,IGFBP2,INPP4B,IRS1,JAK2,MEK1,MSH2,MYH11,PDK1,PEA15,PR,PRDX1,PREX1,PTEN,RAD51,RBM15,SCD1,SF2,TAZ,TFRC,TIGAR,TTF1,VEGFR2
BECKER,-0.03138787582886031,0.0,0.0,-0.16773026328777874,-0.029367244603938015,0.0,0.0,0.0,0.0,0.0,0.0,0.42883292697710057,0.04917013427665492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.052242800139150655,-0.0374120665513486,-0.007212290810899271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06979316038245845,0.0,0.11751479904439731
HEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02567710116021027,0.0,0.39307033978711287,0.0,0.0,0.0,0.02568526262666361,0.0,0.0,0.0,0.0,0.0,0.06790617536520983,0.053514370832394555,0.01476112178026853,0.2438859285158594,0.0,0.0,0.0,0.0,0.0011612599687888209,0.06241605304651713,0.0,0.0,0.04390781530444376,0.0
RCC10RGB,0.0,0.0,0.0,0.0,0.027085079761375797,0.0,0.0,0.0,0.0,0.0,0.02242266180759887,0.05168455323506154,0.0002204963312979914,0.0,-0.04750282897540327,0.0,0.0,0.09837389287685354,0.0,0.0,0.0,-0.181628978208559,0.08540633745283058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.045868439627946456,0.0,0.0,0.0,0.1752976452657311
TGBC11TKB,-0.04696997662067244,0.0,0.0,-0.062300306892274754,0.014779645983556739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10262153383220085,0.0,0.0,0.025115669685816133,0.0,0.0,0.0,0.0,0.0,0.07944731785970235,0.0,0.0,0.0,0.0,0.0,0.0,0.19119453042280757,0.0,0.028776741454595425,0.0,0.0,0.006239034369659804,-0.03756022212662421
ECC12,0.0,0.0,0.0,0.15995138669819706,0.0,0.0,0.0036745313440727425,0.0,0.0,0.0,0.0,0.3334191306614682,0.0,0.0,0.0,0.0,0.011941128473852402,0.04073982307177461,0.0,-0.10939186101680387,0.0,0.0,0.1758923597680359,0.0,0.0,-0.014766977686485008,0.0,0.0,0.0,0.0,0.1007004103997727,0.0,0.0,0.0,0.0
SF295,0.0,-0.04123205426631083,0.0,0.07400589530834961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1857727733386546,0.0,0.0,0.013982495752024864,0.0,0.0,0.0,0.0,0.21357586353365693,0.0,0.0,0.0831513531495256,0.0,0.0,0.0,-0.013393493782483001,0.0,-0.060066751647650095,0.0,0.0,0.0,0.05246492531022696,-0.36360025181554295,0.0
DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013040921809637548,0.0,0.013535220658906447,0.0,0.2527315594107774,-0.088396937214229,0.0,0.0,-0.004135834418975111,0.0,0.11010209646455718,0.0,0.0,0.0,0.0,0.3439249627830787,0.0,0.0,0.04683897810966231,0.0,0.0,-0.06423557039942465,0.0,0.0,0.0,0.0,-0.21528256914306024,0.0
SW1271,0.0,-0.06155990552233008,0.0,0.08347257539006876,0.027848620686474347,0.0,0.0,0.0,0.0,0.0,0.0,0.3409488721243557,0.0,0.0,0.0,0.0,0.0,0.02618309232982013,0.0,0.0,0.0,0.0,-0.05526703238935826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02785968517553893,0.02645288779460437,0.04648911691910321,0.2678990285592452
GCT,0.0,-0.115999923206754,0.0,0.23824819880868217,0.0,0.06105491217113557,0.0,0.0,0.0,0.0,0.0,0.3050700206738769,0.0,0.0,0.0,0.0,0.0,0.06719932417713358,-0.014900662883190394,0.0,0.0,0.0,-0.04439251628304357,0.0,-0.06024051773048848,0.0,0.0,0.0,0.0,0.0,-0.04072590954724739,0.0,0.0,0.0,-0.05894407684842179
HCC1143,0.0,0.0,0.0,0.35968931880683136,0.0,0.0,0.0,0.0,0.0,0.0,0.021101705329195104,0.10618020198886953,0.0,0.023649265280007003,0.030514265115879145,0.0,0.005595237389819256,0.0,0.0,0.0,0.0,0.03508931084680077,-0.10191951955379286,0.0,0.0,0.0,0.0,0.0,0.05637128977646786,0.0,0.0,0.0,0.0,0.06891400703287967,0.0
