cell_line,53BP1,ADAR1,AR,ASNS,ATM,CD31,CDK1,EGFR,FASN,G6PD,GATA3,HER2,HER3,IGFBP2,INPP4B,IRS1,JAK2,MEK1,MSH2,MYH11,PDK1,PEA15,PR,PRDX1,PREX1,PTEN,RAD51,RBM15,SCD1,SF2,TAZ,TFRC,TIGAR,TTF1,VEGFR2
BECKER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4160904493470874,0.03327783435452399,0.0,0.0,0.0,0.0,0.0184841575604754,0.0,0.0,0.0,-0.03946696199024102,0.0,0.0,0.0,-0.017012813674268285,0.0,0.01867424619806673,-0.004143300915091612,0.03689601016296411,0.0,0.0,0.0,-0.008084011489545906,0.0369463661718597
HEL,-0.013703365729118674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010804642351297522,0.0,0.0,-0.26745283333491404,-0.04372695823431882,0.0,-0.018214906745361092,0.0,0.0,0.0,0.0,0.0,-0.022276854362736336,0.0,0.0,0.0,0.0,0.0,0.0,-0.03148606710080474,0.0,-0.36667512620727916,-0.008672227577325598,0.0,0.0,0.0,-0.030643119548167768
RCC10RGB,0.0,-0.020831028933278435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04696712145601632,-0.05364872543807405,0.0,0.0,0.0,0.0,-0.08771898797186338,0.0,-0.034142479602818465,0.0,-0.23338652448245695,-0.12941714711498023,0.0,0.0,0.0,0.0,0.0,0.004055240821854105,0.040882134464825505,0.0,0.0,-0.008847621779140835,0.0,0.0
TGBC11TKB,0.00719680481532467,-0.019327535128308437,0.0,0.0,0.0,0.0066561727779399366,0.0,0.0,0.0,0.0,0.0,0.07195054229004558,0.06750400848154707,0.0,0.0,0.0,0.0,-0.05674299654564944,0.0,0.0,0.0,0.0,-0.08262058650650654,0.0,0.0,0.0,0.0,0.013422662559258624,0.0,0.05229318276573954,0.0,0.0,0.02059919803288481,0.0,0.0
ECC12,0.021879827236930917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5258539445784995,0.030354889016010037,0.0,0.0,0.0,0.0,-0.004371225558415939,0.0,-0.06677465323592063,0.0,0.0,0.02540378588180037,0.0,-0.008937466068707156,0.0,0.0,0.0,0.0,0.0384321952330908,-0.0854008924912393,0.022812564587328745,0.0,0.0,0.0
SF295,0.013327285006912337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04750475166256318,-0.11193603260461144,0.0,0.0,-0.021741079721301872,0.0,0.023254831761147687,0.0,-0.10079244126383177,0.0,0.0,0.0,0.0,-0.011144873059011809,-0.06958201130402994,0.0,0.0,0.0,0.047286851060280674,0.0,0.0,0.0,0.0,0.021786804831917556
DB,-0.034845209275338705,-0.015174091347902348,0.0,0.0,0.0,0.0,0.0,0.018320228871492223,0.0,0.0,0.0,-0.08442429427715636,-0.27490047708029586,0.0,0.0,0.0,0.0,0.0,0.0,-0.3672708765327843,0.0,0.0,0.1113995729129793,0.0,-0.055627692525587864,0.0,0.0,0.0,0.0,-0.1909612478983207,0.0,0.0,0.0,0.0,0.0
SW1271,0.0,0.0,0.0,0.0,0.0,0.008031856806588956,0.0,0.0,0.0,0.0,0.0,-0.31490552566420144,-0.10299878212576423,0.0,0.0,0.0,0.0,-0.022069684132241373,0.0,0.01628897817799141,0.0,0.0008866348343174608,-0.027646659944630024,0.0,-0.011848939187623348,0.0,0.0,0.0,0.0,0.0,0.044602559458326946,0.0,0.0,0.0,0.060597862701103226
GCT,0.0,0.0,0.0,0.020662000991149048,0.0,0.0,0.011640482599257651,0.0,0.0,0.0,0.0,-0.3278404954630719,0.0,0.0,0.0,0.0,0.0,-0.035795557519983714,0.0,0.0,0.0,0.00970827403908959,0.0,0.0,0.0,-0.014116748145093384,-0.005783033387447875,-0.011742132415748433,0.0,0.047177915932573165,0.0,0.0,0.0,0.0,0.02468911811211327
HCC1143,0.0,0.0,0.0,-0.023366549486756927,0.0,0.008384394220692305,0.0,0.006696333388214917,0.0,-0.00802798123931318,0.0,0.0,0.044805900847023884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025395770144576095,0.0,0.05973064305798301,0.021065606102288845,0.0,0.0,-0.034967765014388474,0.015601932393162725
DAUDI,0.0,-0.018698788179519435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006717757046633639,0.0,-0.2164442402155362,-0.21356703967965723,0.0,0.0,0.0,-0.01951002179381041,-0.044489819612613335,0.0,0.0,0.0,0.0,0.06588187431917152,0.0,0.0,0.0,0.0,0.034847465498412444,0.0,-0.6078526087543714,0.0,0.0,0.0,0.0,-0.13131694456555396
BICR31,0.0,0.0,0.0,0.0,0.017239096876924122,0.01921190040865319,0.0,0.0,0.009281168364478686,0.0,0.0,0.09431094828301559,0.03370355547563195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17232036802233078,0.0,-0.0026004010446290643,0.0,0.003318670197218085,0.0,0.0,0.09748292190610768,0.0,0.0,0.0007894347300188537,0.0,0.0
YAPC,0.0,0.0,0.0,0.009920253397057063,0.0,0.008615638856154842,0.0,0.0,0.0,0.0,0.0,0.10062215928803231,0.062335195466671066,0.0,0.0,0.0,0.0,0.015393400204128278,0.0027593258349046077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035226883520895265,0.0,0.08431480870796693,0.0114716886430834,0.0,0.0,0.0,0.022454325804412343
NAMALWA,0.0,-0.02006090440706629,-0.009121514621477145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48269201499833325,-0.11527583795505825,0.0,0.0,0.0,0.0,-0.04337990504840447,0.0,0.0,0.0,-0.017707331748658562,0.0,0.0,0.0,0.0,0.0,0.0,-0.015280115783310622,-0.4298535676645679,-0.026595490388980538,0.0,0.0,0.0,-0.14789604757294625
TCCSUP,-0.05961387763033937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0076205649421397185,0.0,-0.17806521659016555,0.0,0.0,0.0,-0.013612995210216878,0.0,-0.04729957717735867,0.0,-0.023946616489863636,0.0,0.0,-0.00642783277628412,0.0,0.0,0.0,0.0,0.0,0.0,0.06127116112614058,0.0,0.0,0.0,-0.0267308437730982,0.062403294987168734
KURAMOCHI,-0.03808427573791492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038248890265387525,-0.12004436273087038,0.0,0.0,0.0,0.0,-0.15326333654963392,0.0,-0.023450554283746577,0.0,-0.014124417320860517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09992289644196427,0.0,0.0,-0.024317179255272256,0.02302957731753558,0.04043285946064584
SW1088,-0.0013439184910254741,0.017407048050744698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22033082817169747,-0.1459916117202298,0.0,0.0,0.0,0.0,-0.05094980988448737,0.0,0.0,0.0,0.0,0.0,-0.005859699275212353,0.0,-0.022885435362521522,0.0,0.0,0.038620332687239314,0.04839445378692281,0.0,0.0,-0.024388908552310518,0.0,0.0
MCF7,0.0,0.0,0.0016351498687768307,0.0,0.0,0.0,0.0,0.0024642599912351715,0.0,0.0,0.0,0.08574611296760924,0.01910509987727848,0.0,0.0,0.0,0.0,0.007126405034430846,0.0,0.0,0.0,0.0,0.0,0.0,0.06611300647809969,0.0,0.0,0.0,0.017263028687454596,0.065530728608176,0.0,0.0,0.024019071358707927,0.0,0.03338819874850996
SW620,0.0,0.0,0.0,0.0,0.0,0.0,-0.020143871048055206,0.0,0.0,0.0,0.0,-0.15771018251463265,0.029253735212147518,0.0,0.0,0.0,-0.00758691170039498,0.0,0.0,0.0,0.0,-0.014508821061711585,0.0,0.0,-0.012022360951484455,0.0,0.0,0.020339391563610993,0.0,-0.24567380460606614,-0.07373502894018386,0.0,0.0,0.0,0.03607293193291822
SW48,-0.11666253354842115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08032336877977224,0.07189586081404578,0.0,0.0,0.0,0.0,0.0,0.0,-0.005005318906761405,0.00672813173503575,0.0,0.02213146986469605,-0.0013738589025468694,0.0,0.0,0.0,0.0,0.0,0.04659318305895125,-0.13341568533336684,0.0,0.0,0.0,-0.02974682712032525
