cell_line,53BP1,ADAR1,AR,ASNS,ATM,CD31,CDK1,EGFR,FASN,G6PD,GATA3,HER2,HER3,IGFBP2,INPP4B,IRS1,JAK2,MEK1,MSH2,MYH11,PDK1,PEA15,PR,PRDX1,PREX1,PTEN,RAD51,RBM15,SCD1,SF2,TAZ,TFRC,TIGAR,TTF1,VEGFR2
BECKER,0.019087494910425926,0.0,0.0,-0.08364707054918785,0.0,0.0035266264910848466,0.0,0.11742534799786956,0.0,0.0,0.01874054364612386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02846150146540022,0.0,0.36429683713397637,0.0,0.0,0.0,0.04996157051196107,0.0,0.0,0.0,0.12904375905215196,0.051827025230460996
HEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27627393963462016,0.0,0.0,0.0,-0.013439649922546756,-0.045704732671672674,0.0,-0.030204685827964463,-0.04096386508005756,0.0,0.0,0.0,0.0,0.0,0.022561819625624868,0.0,0.0,0.12775193450918854,0.0,0.0,0.0,0.0,-0.2972537821369273,-0.21185945134165682,0.0,0.0,0.28440055386162183,0.0
RCC10RGB,0.0,0.0,0.0,-0.014996001857799422,0.0,0.0,0.0,0.1714050514217702,0.016990554828122006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1388626204005896,-0.292828715671273,0.030592222391218695,0.0,0.0,0.0,0.0,0.0,0.06827323223571363,0.07445790069790505,0.0,0.0,0.04401501991050314,0.11783983213044072
TGBC11TKB,0.0,0.0,0.0,-0.032273360282347556,-0.19332182169089288,0.0,0.0,-0.014677464405983734,-0.027830166649878075,0.0,0.014949237487967835,0.0,0.0,0.0,0.0,0.19889143485749808,0.0,0.0,0.0,0.0,0.0,0.0,-0.050879895912951445,0.0,0.0,0.0,0.0,0.0,-0.027788382061376984,0.0,-0.0774047592734943,0.0,-0.03721022151762951,0.0,0.0
ECC12,0.0,0.0,0.0,0.05359637746160409,0.0,0.0,-0.03247944255844038,-0.42087171344308655,0.0,0.0,0.0,-0.03125117926825608,0.07455876177228421,0.04481730871281125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12113951903071897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27285239307258263,0.0,0.023040841897526226,0.3204933268878391,0.0
SF295,0.0,-0.16066316938686764,-0.0009991326424354295,0.0,0.0,0.08144085152722709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038129318708866544,0.008008473431060663,0.0,0.0,-0.16632748804061542,0.0,0.0,0.37158545856305253,0.0,0.0,0.0,0.0,0.05523392751413387,0.0,0.0,0.0612463777576056,0.03255615911375669
DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3527467636815705,0.0,0.0,-0.0027532750143034086,0.0,0.0,0.0,0.0,0.0,-0.0038932972433217807,-0.050909966942762716,0.0,-0.01698183308404726,0.0,0.0,0.535562439035612,-0.0007353494721662903,0.0,-0.03673285323198702,0.0,0.0,0.0,-0.15527027878498043,-0.02767152800587953,0.0,0.0,0.0,0.0
SW1271,0.0,-0.03850240999885224,0.0,0.06448002342372702,0.0,0.0,0.0,0.1405854069361626,0.0,0.0,0.0,-0.02252672185918343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004141501045920294,0.0,0.0,-0.12124782123199311,0.0,0.0,0.0,0.0,0.0,0.0,0.03291187268187562,0.09273748975887097,0.0,0.0,0.1896979046704259,0.11732614548345488
GCT,0.0,-0.12197753987660812,0.0,0.1258680868923183,0.0,0.0,0.0,0.16400323116465224,0.0,0.0,0.0,-0.02900069023913868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07469339422469504,0.0,0.0,0.22600423483949997,-0.04662483800239893,-0.03111239692485579,0.06498947275009512,0.06974263964689585,0.0,0.0,0.0,0.0,0.0
HCC1143,0.0,0.0,0.0023054845317678563,0.18789670100408187,0.0,0.0,0.0,0.13792401762428388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12493209411146211,0.0,0.009249098148841135,0.0,0.0,0.0,0.0,-0.04272155595849716,0.0,0.0,0.0,0.0,0.0,0.0,0.07383653121126053,0.05777182351769632,0.0,0.004612543511993361,0.316301326211669,0.0
