drug,rank,protein,mean_abs_shap
Erlotinib,1,VEGFR2,0.18086081949737992
Erlotinib,2,TAZ,0.1191795628593332
Erlotinib,3,SCD1,0.06615729351448442
Erlotinib,4,HER3,0.047806110857097156
Erlotinib,5,53BP1,0.0450317928340897
Lapatinib,1,HER2,0.23068656468581503
Lapatinib,2,PR,0.09476108911310367
Lapatinib,3,ASNS,0.0921238878196925
Lapatinib,4,PREX1,0.08854439516317854
Lapatinib,5,VEGFR2,0.08409645959291899
Sorafenib,1,EGFR,0.19923890021238727
Sorafenib,2,TTF1,0.12605357391084426
Sorafenib,3,PR,0.11592612896771033
Sorafenib,4,PTEN,0.11025169245307197
Sorafenib,5,SF2,0.09378823976488233
Paclitaxel,1,HER2,0.18983960548769951
Paclitaxel,2,SF2,0.13030784572842538
Paclitaxel,3,HER3,0.07763727015637241
Paclitaxel,4,VEGFR2,0.0340380960113623
Paclitaxel,5,MEK1,0.03107309637370377
