cell_line,cancer_type,true_ln_ic50,pred_ln_ic50,interval_lower,interval_upper,covered,abs_error
DAUDI,lymphocyte,1.588356,1.5240493,-1.3343449,4.3824434,True,0.064306736
NAMALWA,lymphocyte,2.064284,1.8650836,-0.9933106,4.723478,True,0.19920051
RT4,urinary_tract,2.034904,2.3417642,-0.51662993,5.200158,True,0.3068602
HCC1143,breast,2.023396,2.4572613,-0.40113282,5.3156557,True,0.4338653
TCCSUP,urinary_tract,2.353741,2.8545647,-0.0038294792,5.712959,True,0.50082374
KM12,colorectal,2.259568,2.9718118,0.113417625,5.830206,True,0.7122438
JURKAT,blood,1.280405,2.0862863,-0.77210784,4.94468,True,0.80588126
LOXIMVI,skin,3.415164,2.4475422,-0.41085196,5.3059363,True,0.9676218
HCC1500,breast,2.894074,1.9244362,-0.93395793,4.78283,True,0.96963775
TGBC11TKB,gastric,2.999253,1.976436,-0.8819581,4.8348303,True,1.022817
DB,lymphocyte,1.584707,2.619081,-0.23931313,5.477475,True,1.034374
HEL,blood,2.83302,1.7570463,-1.1013478,4.6154404,True,1.0759736
KURAMOCHI,ovary,3.322064,2.239851,-0.61854315,5.098245,True,1.0822129
SW1088,central_nervous_system,3.099623,1.9106016,-0.94779253,4.768996,True,1.1890213
BECKER,central_nervous_system,3.993777,2.633439,-0.22495508,5.491833,True,1.360338
BICR31,upper_aerodigestive,4.306564,2.5242696,-0.33412457,5.3826637,True,1.7822943
GCT,soft_tissue,4.104486,2.1946192,-0.66377497,5.0530133,True,1.9098668
YAPC,pancreas,4.631811,2.720955,-0.13743925,5.579349,True,1.9108562
MCF7,breast,4.058467,1.9511862,-0.90720797,4.8095803,True,2.1072807
RCC10RGB,kidney,0.844421,3.1189327,0.26053858,5.977327,True,2.2745118
SW1271,lung,5.358783,2.9898229,0.13142872,5.848217,True,2.36896
SW48,colorectal,0.00508,2.384449,-0.47394514,5.242843,True,2.379369
SF295,central_nervous_system,5.460858,2.6203256,-0.23806858,5.4787197,True,2.8405323
ECC12,gastric,5.205943,2.282105,-0.5762892,5.140499,False,2.9238381
SW620,colorectal,4.987499,2.0423908,-0.8160033,4.900785,False,2.9451084
