cell_line,cancer_type,true_ln_ic50,pred_ln_ic50,interval_lower,interval_upper,covered,abs_error
GCT,soft_tissue,-2.543773,-2.586092,-5.483164,0.31097984,True,0.04231906
SF295,central_nervous_system,-2.277345,-2.4667273,-5.363799,0.43034458,True,0.18938231
TCCSUP,urinary_tract,-2.177791,-2.5443344,-5.4414062,0.35273743,True,0.3665433
HCC1143,breast,-2.668328,-2.2122293,-5.109301,0.6848426,True,0.4560988
MCF7,breast,-2.691037,-1.9823004,-4.879372,0.91477144,True,0.70873654
HCC1500,breast,-1.424437,-2.1617987,-5.0588703,0.7352731,True,0.73736167
HEL,blood,-2.214224,-3.1086235,-6.0056953,-0.21155167,True,0.8943994
BECKER,central_nervous_system,-3.583058,-2.6452103,-5.542282,0.25186157,True,0.93784785
SW620,colorectal,-3.732212,-2.7504063,-5.647478,0.14666557,True,0.9818058
DAUDI,lymphocyte,-2.18345,-3.4625592,-6.359631,-0.5654874,True,1.2791092
SW1271,lung,-1.365165,-2.6537533,-5.550825,0.24331856,True,1.2885883
SW1088,central_nervous_system,-3.97403,-2.67202,-5.569092,0.22505188,True,1.30201
RT4,urinary_tract,-3.57048,-2.265994,-5.163066,0.63107777,True,1.304486
LOXIMVI,skin,-4.300278,-2.9623203,-5.859392,-0.06524849,True,1.3379579
ECC12,gastric,-1.459988,-2.8571463,-5.754218,0.039925575,True,1.3971583
NAMALWA,lymphocyte,-5.088043,-3.6125543,-6.5096264,-0.7154825,True,1.4754889
BICR31,upper_aerodigestive,-0.666472,-2.2042747,-5.1013465,0.6927972,True,1.5378027
JURKAT,blood,-4.906594,-3.2003613,-6.097433,-0.3032894,True,1.7062325
KURAMOCHI,ovary,-0.857127,-2.6761875,-5.5732594,0.22088432,True,1.8190606
TGBC11TKB,gastric,-4.045154,-2.22376,-5.1208315,0.67331195,True,1.8213942
KM12,colorectal,-4.263838,-2.3908153,-5.287887,0.5062566,True,1.8730226
DB,lymphocyte,-5.280045,-3.1981752,-6.0952473,-0.30110335,True,2.0818698
YAPC,pancreas,0.193437,-1.9515778,-4.8486495,0.94549406,True,2.1450148
SW48,colorectal,-5.020249,-2.3632236,-5.2602954,0.5338483,True,2.6570253
RCC10RGB,kidney,0.459353,-2.7807794,-5.677851,0.11629248,False,3.2401323
