cell_line,cancer_type,true_ln_ic50,pred_ln_ic50,interval_lower,interval_upper,covered,abs_error
HEL,blood,1.859968,1.9364948,-0.36368704,4.2366767,True,0.07652688
HCC1500,breast,1.906934,1.7909942,-0.5091877,4.091176,True,0.115939856
YAPC,pancreas,3.307758,3.1429255,0.84274364,5.4431076,True,0.16483259
BECKER,central_nervous_system,3.305665,3.1162043,0.8160224,5.416386,True,0.18946075
RT4,urinary_tract,2.043243,1.7526507,-0.5475311,4.0528326,True,0.2905922
GCT,soft_tissue,2.384283,2.7646792,0.46449733,5.0648613,True,0.38039613
LOXIMVI,skin,2.520846,2.1146197,-0.18556213,4.4148016,True,0.40622616
DAUDI,lymphocyte,1.614273,2.046521,-0.25366092,4.3467026,True,0.432248
TCCSUP,urinary_tract,3.711671,3.2437027,0.9435208,5.5438843,True,0.46796846
BICR31,upper_aerodigestive,2.15455,2.6470764,0.3468945,4.947258,True,0.4925263
ECC12,gastric,1.749911,2.297672,-0.0025098324,4.5978537,True,0.5477611
MCF7,breast,1.82766,2.426181,0.12599921,4.726363,True,0.5985211
NAMALWA,lymphocyte,1.834087,1.2128693,-1.0873126,3.513051,True,0.6212177
SW1088,central_nervous_system,3.656044,3.0195665,0.7193847,5.3197484,True,0.6364775
TGBC11TKB,gastric,2.848478,2.169935,-0.13024688,4.4701166,True,0.6785431
JURKAT,blood,1.546797,2.258484,-0.04169798,4.5586658,True,0.71168685
SF295,central_nervous_system,1.842464,2.7376912,0.4375093,5.0378733,True,0.8952272
KM12,colorectal,1.884049,2.7800367,0.47985482,5.0802183,True,0.89598763
DB,lymphocyte,1.121969,2.3053477,0.0051658154,4.60553,True,1.1833787
HCC1143,breast,4.503055,3.2895887,0.9894068,5.5897703,True,1.2134664
SW620,colorectal,2.72418,1.4359958,-0.86418605,3.7361777,True,1.2881842
SW48,colorectal,4.165944,2.7625291,0.46234727,5.062711,True,1.403415
KURAMOCHI,ovary,4.376892,2.3929412,0.09275937,4.693123,True,1.9839509
RCC10RGB,kidney,4.939811,2.7720923,0.47191048,5.072274,True,2.167719
SW1271,lung,5.981284,2.8770835,0.5769017,5.177265,False,3.1042006
